category,company,description,title,review,stars,clean,sentiment,sentiment_score,topic
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Mis Spectacular ,"The Les Mis Spectacular is just that, spectacular! Fantastic show, with an amazing cast, only let down by Newcastle’s dreadfully outdated arena! £80-£90 to sit on small, hard plastic seats for 4hrs is a little insulting. ",5,the les mis spectacular is just that spectacular fantastic show with an amazing cast only let down by newcastle s dreadfully outdated arena to sit on small hard plastic seats for hrs is a little insulting,NEGATIVE,0.9902322292327881,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Abba Voyage is a must it’s an excellent…,Abba Voyage is a must it’s an excellent show but the venue and staff are amazingThey are happy dancing and polite which is not often the case at other venuesEasy to get to via DLR We used the little bar outside for food and drink beforehand all cooked to order and a glitter bar for those who want some glam plus a dance floor for your warm up moves ,5,abba voyage is a must it s an excellent show but the venue and staff are amazingthey are happy dancing and polite which is not often the case at other venueseasy to get to via dlr we used the little bar outside for food and drink beforehand all cooked to order and a glitter bar for those who want some glam plus a dance floor for your warm up moves,POSITIVE,0.9996562004089355,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miz. arena event,"Brilliant,  everything went smoothly and constantly informed through e mails regarding updates for event. Show was absolutely fantastic, the cast were brilliant, well worth the money and wait ",5,brilliant everything went smoothly and constantly informed through e mails regarding updates for event show was absolutely fantastic the cast were brilliant well worth the money and wait,POSITIVE,0.9998610019683838,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Amazing ,Honest the vibes and energy was amazing. Great treat for any abba lover.I will say however there were some people on the dance floor that weren’t pleased when people started dancing around them. IT A DANCEFLOOR FOR A REASON ! I am aware it’s not done to the venue just some people should consider their environment and what they booked for.,5,honest the vibes and energy was amazing great treat for any abba lover i will say however there were some people on the dance floor that weren t pleased when people started dancing around them it a dancefloor for a reason i am aware it s not done to the venue just some people should consider their environment and what they booked for,POSITIVE,0.9969557523727417,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Excellent service offered by Ticketmaster.,Excellent service offered by Ticketmaster. Only needed to screenshot QR e-tickets and show these at the arena. Also very clear instructions provided which made it a very enjoyable evening with no stress. Many thanks.,5,excellent service offered by ticketmaster only needed to screenshot qr e tickets and show these at the arena also very clear instructions provided which made it a very enjoyable evening with no stress many thanks,POSITIVE,0.999821126461029,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserable Arena Spectacular ,"We went to see Les Miserable at The arena spectacular at Gateshead , everything was ran well from security to food and drinks . The show was absolutely fantastic from start to finish hence why they got what I would say was the longest standing ovation . The experience was brilliant from start to end .",5,we went to see les miserable at the arena spectacular at gateshead everything was ran well from security to food and drinks the show was absolutely fantastic from start to finish hence why they got what i would say was the longest standing ovation the experience was brilliant from start to end,POSITIVE,0.9997450709342957,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Very Efficient,Ticketmaster are good about keeping you informed with details about the show booked and if there is anything that you need help with they are there for you.  Tickets are easy to get on your mobile for entry at the door.  They also keep you updated of other events that you may be interested in.,5,ticketmaster are good about keeping you informed with details about the show booked and if there is anything that you need help with they are there for you tickets are easy to get on your mobile for entry at the door they also keep you updated of other events that you may be interested in,POSITIVE,0.9972860813140869,1
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Les Miserable stage show ,My husband and I required assistance at arena. We were met by medics who took us to our seats snd when the show finished they assisted us back to our daughters car. Nothing was to much trouble. The show was amazing and we can't wait to visit again!! Well done everyone ,5,my husband and i required assistance at arena we were met by medics who took us to our seats snd when the show finished they assisted us back to our daughters car nothing was to much trouble the show was amazing and we can t wait to visit again well done everyone,POSITIVE,0.9996042847633362,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",the bootleg Beatles ,"the bootleg Beatles were again amazing, a different show every year,the theatre itself has always had a sound quality second to none and the staff polite and courteous very professional.unfortunately as is the norm at most venues the prices for drinks etc are extravagant.",5,the bootleg beatles were again amazing a different show every year the theatre itself has always had a sound quality second to none and the staff polite and courteous very professional unfortunately as is the norm at most venues the prices for drinks etc are extravagant,POSITIVE,0.9287640452384949,0
Events & Entertainment,www.ticketmaster.co.uk,"Ticketmaster: All your entertainment needs under one virtual roof with tickets for theatre, concerts, sport, family events, clubs and more.",Abba voyage a great night out,I bought the tickets for Abba Voyage from Ticketmaster. I used the Ticketmaster app to gain entry to the event. The app was easy to use. The venue was great clean and well laid out. The show itself was spectacular and was a brilliant night. The staff at the venue were very friendly and encouraged audience participation waving arms etc. A great night,5,i bought the tickets for abba voyage from ticketmaster i used the ticketmaster app to gain entry to the event the app was easy to use the venue was great clean and well laid out the show itself was spectacular and was a brilliant night the staff at the venue were very friendly and encouraged audience participation waving arms etc a great night,POSITIVE,0.9997943043708801,-1
